index,Ticker1,Ticker2,ro,lAB,lBA
365,AR,SECO,0.9801034198140742,1.2004357728602044,0.8002116691695005
267,ALT,DEFI,0.9786826613491821,0.898590330173116,1.0659137089100337
1904,PAXG,XAUT,0.9783369088557312,0.9398003049869782,1.0184537099534665
366,AR,SOL,0.978189440237141,0.9084777107524021,1.0532504756764847
1106,DRGN,QTUM,0.9772733899639182,0.8236955182683074,1.1594858264367416
973,DEFI,DRGN,0.9751101584636245,0.8877948106409459,1.0710130423633515
1130,EOS,NEO,0.9707629815663937,0.6724027708833318,1.4015123184898155
879,CRO,LRC,0.9694506798112121,0.6709754816457373,1.4006989022627756
880,CRO,SAND,0.9688128961589099,0.588297071909912,1.5954497694789573
644,BNB,SHIT,0.9679375009976107,0.9651013529658264,0.9707819836313862
1812,MTL,STMX,0.966208401780913,1.1281143547950316,0.8275390448707175
279,ALT,QTUM,0.9640873293794695,0.6793036360780637,1.3682605675957642
1234,FLM,ONT,0.9635302447985036,1.1640688021156067,0.7975392270235101
1357,HOT,QTUM,0.9634377049977847,0.8752755062189929,1.0604800486432904
1116,EGLD,SOL,0.962433502715439,0.6637963134963469,1.39542541637542
660,BNT,MID,0.9618556812993212,0.8268236941748122,1.1189402990816772
663,BNT,ONT,0.9615620683088725,0.6775981988249845,1.3645278467590056
2131,SRM,WAVES,0.9610036439420021,1.4482378448311617,0.6376908371549102
893,DASH,FLM,0.9604435886730994,0.8542092152659406,1.0798898800641894
1887,ORBS,STMX,0.9594412544650217,1.0347244361102927,0.8896354320478176
496,AVAX,NEAR,0.9592385028281706,1.259948040822962,0.7302987706596396
622,BCH,NEO,0.9588075231876344,0.6113132245979634,1.503831145033385
1752,MID,XRP,0.9574412141722882,0.6473795191428962,1.416006610480001
1632,LINK,VET,0.9566206879582175,0.837801555191853,1.0922910502596215
982,DEFI,QTUM,0.9561702648626195,0.7337440805349883,1.246022420706746
1754,MID,ZRX,0.9559626052385717,0.7442959272127373,1.2278241344632712
1795,MTL,ORBS,0.9544426057116356,1.0332976966646221,0.8816052629732006
2041,REN,XTZ,0.9541849871081842,1.1285835395165116,0.8067360170897879
