,Ticker1,Ticker2,ro,diff,lAB,lBA
245,ADA,MAPS,0.9089788102494617,0.20990347280389032,0.6074504900023094,1.360180773711098
269,LINK,REEF,0.8867770833177422,0.18937945376797805,0.6994812544248634,1.1242239738706137
43,ALGO,ATOM,0.9433249178394492,0.18740547976494626,0.6994730553010925,1.2721889626381062
39,ETC,ICP,0.9396318228050674,0.18721725930138966,0.6360880288567261,1.3880279495510548
202,BAND,LINK,0.8943110948766374,0.17915893203883726,0.9646387887019795,0.8291106928176221
20,AVAX,NEAR,0.9572270444098318,0.17721336831298096,1.2336596214969207,0.7427361636735462
237,BAND,MAPS,0.9031213909511312,0.1699536500837453,0.4933167524731341,1.6533560693094944
149,MAPS,SRM,0.9241601879795923,0.16994588086768792,0.9118723678677453,0.9366135910484645
207,LINK,ONT,0.8844068155428791,0.16677530856131906,0.9435517153919286,0.8289693109760278
68,FIL,ICP,0.9302048444500374,0.16266728008009967,0.8439460188164527,1.0252800929753607
0,AR,SECO,0.9773420106751605,0.15847913892958326,1.2073838968010344,0.7911298207317179
217,LINK,QTUM,0.8986177869803545,0.1584341939588375,0.5813436306238835,1.3890475177492978
115,ENJ,HUM,0.9250176767400471,0.15514628562782962,0.545596798561698,1.5682967798514194
212,DASH,SKL,0.9097024398257147,0.15505204887448798,0.7882343458529155,1.0498889491162575
23,LINK,VET,0.9443108292928905,0.15429178772740482,0.819209960522541,1.0885157472341187
167,EOS,ICP,0.9090822129368521,0.1510734283930657,0.5296907908296973,1.5602130227404174
244,BAL,ETC,0.8925867867686252,0.15024739331012987,0.8618969179221327,0.9243694406457054
247,ETH,STX,0.8971578960929356,0.14800490439660985,0.6820222880322209,1.1801554064225495
97,REN,UNISWAP,0.9276462231705861,0.14337222373531944,1.2994821031404866,0.6622080544880128
77,KNC,PRIV,0.9260342399358027,0.13913014706917526,0.9119388975795496,0.9403474463141601
76,HOLY,REN,0.9320539479762916,0.13572347104484495,1.1308904585942838,0.768177461695124
252,CAKE,KAVA,0.9076294804937566,0.12636878882924363,0.8768414052441637,0.9394986013827381
79,LINK,ZRX,0.9241950257917542,0.12537450558642083,0.951945683682242,0.897253341592261
176,BCH,KNC,0.9084969350216392,0.12504838269561658,0.9100868629833527,0.9069097846749273
266,LINK,LTC,0.8854955232848881,0.12447915554290034,1.0049045011047033,0.7802754599025132
90,ICP,NEO,0.9283949300343788,0.12371309296473629,1.1085469164484425,0.7775197723475207
125,DASH,DODO,0.9260966738328764,0.12246131012735573,0.6947593842154106,1.2344634254244204
169,FLM,KNC,0.9159454373487176,0.12212157161844717,1.387498555384101,0.6046536343727474
14,EGLD,SOL,0.9611483366738613,0.12189342394560732,0.6589213651624248,1.401997527980006
105,HBAR,REN,0.924406371716914,0.11757413238709014,0.6769950546733235,1.2622354242796825
146,LINK,XLM,0.9113193429712886,0.11743076566056887,1.217555997718479,0.6821065695786162
128,BCH,DASH,0.9243219876443424,0.11685864205239382,0.6882458595732953,1.241374902527548
251,EXCH,QTUM,0.8993914732336066,0.1118418302781663,0.6221039723714713,1.3002730380289278
143,DOT,REN,0.9183200857264635,0.10917896275017558,0.8710238796232808,0.9681844546137964
8,CRO,SAND,0.9698342336713246,0.10847443749625985,0.5908741729177123,1.5918421957018503
74,KNC,ONT,0.9341297862113668,0.10823860078402509,0.7419164979531572,1.1761410615543255
231,KAVA,PUNDIX,0.9168126446744274,0.10591530777339697,0.9887110792405335,0.8501426180847217
259,KNC,ZIL,0.9023406420784212,0.1050375875073426,0.7051924455964672,1.154604873365899
158,MTL,SRM,0.9178848481016788,0.1046652735224467,0.6732790375874794,1.2513572342807033
163,LINK,XRP,0.9074777581022981,0.10417848188192536,0.8129805162628481,1.0129589393309872
141,ALPHA,FTT,0.9183552983265603,0.10240487308788815,0.9410043386092452,0.8962513979594733
27,REN,XTZ,0.9508635016381771,0.1017470963313547,1.12849758392528,0.801190371717695
227,DENT,VET,0.909660682667927,0.10169775934422087,1.5331947464124052,0.5397113181662958
201,MTL,UNISWAP,0.9130946207963561,0.10055541312421745,0.9590067541902538,0.8693805157099432
103,DENT,HOT,0.9270267003426639,0.09961804294272392,1.2773097715057244,0.6728035143230371
